Protein,Protein Description,Protein Gene,A01-511-84A-C4-001 Sum Normalized Area,A02-Hoof17-002 Sum Normalized Area,A03-304-75B-B4-003 Sum Normalized Area,A04-450-08A-C7-004 Sum Normalized Area,A05-051-21B-D6-005 Sum Normalized Area,A06-510-08B-C8-006 Sum Normalized Area,A07-912-46A-A9-007 Sum Normalized Area,A08-492-84B-B8-008 Sum Normalized Area,A09-159-21A-D7-009 Sum Normalized Area,A10-990-46B-A8-010 Sum Normalized Area,A11-EISAIPool-011 Sum Normalized Area,A12-278-75A-B6-012 Sum Normalized Area,B01-041-40B-B1-013 Sum Normalized Area,B02-934-43A-A2-014 Sum Normalized Area,B03-959-40A-A5-015 Sum Normalized Area,B04-EISAIPool-016 Sum Normalized Area,B05-334-76A-B9-017 Sum Normalized Area,B06-GWPool-018 Sum Normalized Area,B07-168-16A-D3-019 Sum Normalized Area,B08-009-43B-A3-020 Sum Normalized Area,B09-316-76B-C3-021 Sum Normalized Area,B10-062-16B-D5-022 Sum Normalized Area,B11-Hoof17-023 Sum Normalized Area,B12-GWPool-024 Sum Normalized Area,C01-027-37B-B3-025 Sum Normalized Area,C02-907-45A-B2-026 Sum Normalized Area,C03-EISAIPool-027 Sum Normalized Area,C04-155-17A-D1-028 Sum Normalized Area,C05-166-20A-D8-029 Sum Normalized Area,C06-249-64B-B5-030 Sum Normalized Area,C07-985-45B-A1-031 Sum Normalized Area,C08-Hoof17-032 Sum Normalized Area,C09-956-37A-A6-033 Sum Normalized Area,C10-216-64A-C2-034 Sum Normalized Area,C11-056-20B-D9-035 Sum Normalized Area,C12-046-17B-C9-036 Sum Normalized Area,D01-GWPool-037 Sum Normalized Area,D02-039-25B-D2-038 Sum Normalized Area,D03-043-24B-C5-039 Sum Normalized Area,D04-084-86A-C1-040 Sum Normalized Area,D05-EISAIPool-041 Sum Normalized Area,D06-152-24A-D4-042 Sum Normalized Area,D07-099-86B-B7-043 Sum Normalized Area,D08-880-56A-A7-044 Sum Normalized Area,D09-GWPool-045 Sum Normalized Area,D10-143-25A-C6-046 Sum Normalized Area,D11-970-56B-A4-047 Sum Normalized Area,D12-Hoof17-048 Sum Normalized Area
sp|Q9ULZ9|MMP17_HUMAN,Matrix metalloproteinase-17 OS=Homo sapiens OX=9606 GN=MMP17 PE=1 SV=4,MMP17,1.2588E+5,1.1483E+5,1.9473E+5,9.0531E+4,1.5411E+5,1.5429E+5,1.4622E+5,2.1182E+5,2.6365E+5,6.7028E+4,1.2652E+5,1.0672E+5,1.4544E+5,1.7418E+5,2.3973E+5,1.0922E+5,1.4777E+5,2.2674E+4,1.0037E+5,9.7043E+4,1.3327E+5,1.3484E+5,2.0673E+5,2.4403E+4,9.5541E+4,1.1670E+5,1.6658E+5,1.7595E+5,1.0500E+5,1.6447E+5,8.3297E+4,1.7949E+5,1.9617E+5,2.0303E+5,1.1831E+5,9.6861E+4,1.6801E+4,2.0006E+5,1.0160E+5,5.3474E+4,9.7590E+4,1.3607E+5,8.3796E+4,9.2692E+4,3.1349E+4,3.1030E+5,2.0937E+5,3.2692E+5
sp|A5D8V6|VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C OS=Homo sapiens OX=9606 GN=VPS37C PE=1 SV=2,VPS37C,1.0099E+4,1.2071E+4,7.2153E+3,3.4116E+3,1.4844E+4,1.0306E+4,8.2650E+3,6.9933E+3,1.4371E+4,7.7647E+3,1.3103E+4,4.1257E+3,8.0126E+3,2.0849E+4,9.6205E+3,7.9235E+3,6.5157E+3,1.8823E+4,9.6499E+3,1.3406E+4,8.9983E+3,8.2863E+3,1.2270E+4,1.4493E+4,1.0602E+4,2.0809E+3,8.7801E+3,9.8392E+3,9.2496E+3,1.0933E+4,6.3888E+3,8.8815E+3,1.2051E+4,6.2465E+3,1.0485E+4,1.2543E+4,2.4751E+4,1.1012E+4,9.8850E+3,1.5293E+4,8.6323E+3,1.1585E+4,1.3333E+4,8.7943E+3,2.3507E+4,7.6055E+3,1.1719E+4,9.5919E+3
sp|A6NHG4|DDTL_HUMAN / sp|P30046|DOPD_HUMAN,"D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1
D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3",DDTL / DDT,2.4294E+3,4.7225E+3,1.3245E+3,5.2110E+3,2.1400E+3,2.4680E+3,3.3784E+3,2.3504E+3,1.5073E+3,1.6839E+3,2.6782E+3,1.0521E+3,3.6812E+3,0.0000E+0,1.8240E+3,2.3867E+3,9.6298E+2,3.5374E+3,2.3157E+3,2.5957E+3,1.2927E+3,9.7499E+2,1.6554E+3,7.5132E+3,7.4050E+2,1.3580E+3,2.5143E+3,1.2325E+3,3.9783E+3,7.1519E+2,9.1003E+2,3.2402E+3,3.0330E+2,1.2222E+3,9.3660E+2,1.2563E+3,2.5826E+3,1.7484E+3,2.4546E+3,1.4001E+2,1.4730E+3,2.8383E+2,1.1604E+3,7.7017E+2,2.3631E+3,1.7024E+3,5.3390E+2,1.7467E+3
sp|P23471|PTPRZ_HUMAN,Receptor-type tyrosine-protein phosphatase zeta OS=Homo sapiens OX=9606 GN=PTPRZ1 PE=1 SV=4,PTPRZ1,1.3017E+7,1.6601E+7,1.9506E+7,1.0587E+7,1.3963E+7,1.6352E+7,1.2391E+7,1.2232E+7,1.9713E+7,9.8647E+6,1.4897E+7,1.8138E+7,1.3191E+7,1.7697E+7,1.8328E+7,1.6800E+7,1.5811E+7,1.0099E+7,1.6604E+7,1.9643E+7,1.5929E+7,2.0307E+7,1.9174E+7,1.0897E+7,1.5367E+7,1.0534E+7,1.3887E+7,1.8061E+7,1.2108E+7,2.5677E+7,1.1249E+7,2.1377E+7,1.4733E+7,2.3898E+7,1.3328E+7,1.7605E+7,9.6738E+6,2.1097E+7,1.5043E+7,1.1404E+7,1.2297E+7,9.8241E+6,8.8372E+6,1.1787E+7,1.0981E+7,2.0656E+7,2.0941E+7,1.8335E+7
sp|P29317|EPHA2_HUMAN,Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2,EPHA2,1.5812E+4,1.0172E+4,1.6661E+4,6.6515E+3,9.2029E+3,1.3382E+4,1.5137E+4,1.6611E+4,1.1140E+4,7.8722E+3,1.2931E+4,1.2503E+4,3.0784E+4,2.1532E+4,1.2670E+4,2.0412E+4,1.4985E+4,1.6522E+4,1.4931E+4,8.4374E+3,1.2099E+4,1.4267E+4,1.2115E+4,1.5462E+4,1.2425E+4,9.4425E+3,2.1407E+4,8.8147E+3,1.8308E+4,1.6085E+4,4.9356E+3,3.8796E+3,1.3406E+4,1.6542E+4,1.5845E+4,5.5794E+3,1.2761E+4,7.3152E+3,1.1191E+4,6.4752E+3,7.1041E+3,1.1220E+4,1.3502E+4,9.1722E+3,2.0459E+4,1.7164E+4,1.9571E+4,1.6113E+4
sp|P48507|GSH0_HUMAN,Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens OX=9606 GN=GCLM PE=1 SV=1,GCLM,4.1518E+3,7.0067E+3,3.3597E+3,7.1156E+2,2.6578E+2,8.1190E+2,1.7593E+3,3.0134E+3,2.2773E+3,1.5183E+3,5.8110E+2,2.1248E+3,3.3763E+3,2.8061E+3,5.3707E+2,1.1323E+3,6.3665E+2,1.7421E+4,1.9771E+3,3.0947E+3,1.4065E+3,1.4642E+3,1.7921E+4,1.7757E+4,1.2775E+2,1.2068E+3,1.8755E+3,1.5931E+3,2.2124E+2,2.3085E+3,1.9106E+3,1.1257E+4,3.2087E+3,1.9388E+3,2.0447E+3,1.5451E+3,1.3382E+4,1.7098E+3,2.2997E+3,8.7419E+2,9.1406E+2,5.6510E+2,1.0272E+3,1.1665E+3,9.3927E+3,6.9350E+2,3.6436E+3,1.1303E+4
sp|P58335|ANTR2_HUMAN,Anthrax toxin receptor 2 OS=Homo sapiens OX=9606 GN=ANTXR2 PE=1 SV=5,ANTXR2,1.9705E+4,2.7481E+4,2.0158E+4,1.4469E+4,1.6177E+4,2.1234E+4,2.8195E+4,1.8734E+4,1.5660E+4,1.6139E+4,1.9344E+4,2.0054E+4,3.0873E+4,2.1398E+4,1.6327E+4,2.1506E+4,1.6972E+4,1.7979E+4,1.5460E+4,1.9886E+4,1.5734E+4,1.0085E+4,2.0632E+4,2.2144E+4,2.4639E+4,1.0736E+4,1.8029E+4,1.9726E+4,1.9319E+4,1.6211E+4,1.8033E+4,3.3906E+4,2.2635E+4,1.6569E+4,2.1460E+4,1.4376E+4,1.7566E+4,2.1967E+4,1.7231E+4,1.3629E+4,1.2813E+4,2.1653E+4,2.6092E+4,2.2483E+4,1.6893E+4,2.4078E+4,3.8116E+4,3.6306E+4
sp|P68104|EF1A1_HUMAN / sp|Q5VTE0|EF1A3_HUMAN,"Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
Putative elongation factor 1-alpha-like 3 OS=Homo sapiens OX=9606 GN=EEF1A1P5 PE=5 SV=1",EEF1A1 / EEF1A1P5,6.0165E+5,4.1503E+5,3.5780E+5,2.4178E+5,4.3850E+5,3.0078E+5,2.5084E+5,4.8619E+5,2.5104E+5,2.5529E+5,2.6897E+5,2.5366E+5,3.4906E+5,2.2892E+5,2.7142E+5,2.5188E+5,2.5887E+5,4.6218E+5,3.4054E+5,2.2772E+5,2.5353E+5,3.5967E+5,5.3424E+5,4.8637E+5,2.5243E+5,2.2282E+5,2.4486E+5,3.1283E+5,2.1104E+5,4.6574E+5,2.6400E+5,7.3584E+5,2.8664E+5,2.5231E+5,2.3410E+5,2.0418E+5,3.7645E+5,2.8837E+5,3.0999E+5,1.6574E+5,2.1217E+5,2.2296E+5,2.4281E+5,2.8374E+5,4.6098E+5,2.8231E+5,8.3590E+5,6.4216E+5
sp|Q07157|ZO1_HUMAN,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,3.1362E+3,5.5712E+3,4.6945E+3,7.3730E+3,3.7033E+3,2.2035E+3,1.4590E+3,2.2920E+3,1.6258E+3,6.3299E+2,2.0246E+3,3.6090E+3,1.3750E+4,1.5516E+3,1.4462E+3,2.2747E+3,2.5359E+3,8.8751E+2,1.9254E+3,3.4755E+3,7.7692E+2,2.1271E+3,3.4743E+3,1.0736E+3,1.6574E+3,2.3722E+3,2.7163E+2,3.3580E+3,1.3756E+3,5.9749E+3,2.9573E+3,4.1083E+3,2.4969E+3,4.8890E+3,5.3288E+3,2.3524E+3,2.0863E+3,2.3493E+2,4.8923E+3,8.0107E+2,3.0377E+3,2.5145E+3,2.3523E+3,1.3781E+3,2.2731E+1,2.0823E+3,2.3601E+3,4.3861E+3
sp|Q14894|CRYM_HUMAN,Ketimine reductase mu-crystallin OS=Homo sapiens OX=9606 GN=CRYM PE=1 SV=1,CRYM,1.5601E+5,2.4004E+5,3.9792E+5,2.7205E+5,3.1339E+5,3.2361E+5,2.9757E+5,2.2302E+5,3.2308E+5,2.4206E+5,3.3148E+5,3.7285E+5,4.6088E+5,3.1118E+5,4.6566E+5,2.8393E+5,3.1738E+5,3.4934E+4,3.0177E+5,3.2336E+5,3.5249E+5,3.2766E+5,2.8205E+5,3.3173E+4,2.1259E+5,2.0889E+5,2.1849E+5,3.6327E+5,3.5273E+5,4.2446E+5,2.2494E+5,2.4380E+5,1.6503E+5,5.1880E+5,2.8561E+5,3.5692E+5,3.9371E+4,3.7101E+5,2.4006E+5,1.9132E+5,2.0172E+5,2.1092E+5,1.5564E+5,2.0265E+5,4.3108E+4,3.8391E+5,5.6018E+5,2.5524E+5
sp|Q15113|PCOC1_HUMAN,Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens OX=9606 GN=PCOLCE PE=1 SV=2,PCOLCE,1.8268E+6,4.4766E+6,1.2767E+6,1.1315E+6,1.3683E+6,1.3096E+6,1.3210E+6,1.6179E+6,1.1644E+6,1.1796E+6,1.4506E+6,1.4749E+6,6.4752E+5,1.0893E+6,1.5867E+6,1.3986E+6,9.5336E+5,2.1525E+6,1.2489E+6,1.3203E+6,1.1692E+6,1.2566E+6,5.7674E+6,2.3688E+6,1.1735E+6,2.3451E+6,1.2263E+6,1.5483E+6,1.0452E+6,1.6103E+6,2.1636E+6,5.0308E+6,1.0071E+6,1.7898E+6,1.8165E+6,2.0451E+6,2.2362E+6,8.2925E+5,1.3640E+6,1.1035E+6,1.4343E+6,1.1375E+6,1.3218E+6,1.7891E+6,2.0633E+6,9.4804E+5,2.1436E+6,5.8793E+6
sp|Q4LDE5|SVEP1_HUMAN,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3",SVEP1,1.2134E+6,2.0238E+6,1.7567E+6,1.0699E+6,9.8022E+5,1.1436E+6,9.0662E+5,1.0590E+6,1.2163E+6,8.0769E+5,1.7527E+6,2.0158E+6,2.2015E+6,1.9280E+6,1.8629E+6,1.2207E+6,1.7927E+6,1.2339E+6,8.6658E+5,1.5973E+6,2.2875E+6,1.0883E+6,2.0310E+6,1.0013E+6,2.2412E+6,1.1786E+6,1.3954E+6,1.2996E+6,1.1188E+6,1.6768E+6,1.2911E+6,2.3174E+6,1.8104E+6,1.4441E+6,1.0397E+6,1.5159E+6,9.4040E+5,1.5587E+6,1.5543E+6,1.0877E+6,1.2897E+6,9.8875E+5,1.1671E+6,1.4042E+6,9.2781E+5,1.7015E+6,1.8426E+6,2.5123E+6
sp|Q7L014|DDX46_HUMAN,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,DDX46,5.8805E+3,2.5552E+3,1.1504E+3,6.9138E+2,1.0715E+3,2.2778E+2,6.4274E+2,9.7608E+2,4.0653E+2,2.2193E+2,4.8991E+2,2.0688E+3,5.4653E+2,3.5106E+2,1.7551E+2,4.5378E+2,5.9858E+2,7.8680E+2,2.0646E+2,1.0423E+3,0.0000E+0,2.0379E+2,4.2110E+2,1.1388E+3,2.7345E+2,2.7898E+1,2.8749E+2,2.1229E+1,7.1490E+2,4.9487E+2,5.0607E+1,6.2732E+2,5.6638E+2,0.0000E+0,0.0000E+0,1.2835E+2,4.4302E+2,0.0000E+0,9.3400E+2,0.0000E+0,1.6850E+2,4.8602E+2,3.1397E+2,1.3731E+2,9.5352E+2,9.4179E+2,1.1579E+3,7.3711E+2
sp|Q7Z5Y6|BMP8A_HUMAN / sp|P34820|BMP8B_HUMAN,"Bone morphogenetic protein 8A OS=Homo sapiens OX=9606 GN=BMP8A PE=2 SV=2
Bone morphogenetic protein 8B OS=Homo sapiens OX=9606 GN=BMP8B PE=1 SV=2",BMP8A / BMP8B,4.0135E+4,1.8003E+4,3.1602E+4,2.0550E+4,2.0323E+4,2.4392E+4,2.4499E+4,3.9156E+4,2.4988E+4,2.0902E+4,2.0311E+4,3.5227E+4,9.5437E+3,1.8042E+4,1.8779E+4,1.5762E+4,1.3343E+4,9.5872E+3,2.3592E+4,3.0908E+4,4.1318E+4,1.6825E+4,2.4049E+4,7.3401E+3,3.2001E+4,1.0200E+4,2.4617E+4,2.8469E+4,3.6458E+4,1.2818E+4,2.0629E+4,2.6990E+4,2.2822E+4,1.8994E+4,2.6614E+4,1.8533E+4,4.1977E+3,3.6502E+4,2.7398E+4,1.3919E+4,1.9819E+4,2.1994E+4,1.5767E+4,2.1229E+4,5.1884E+3,2.6574E+4,4.4830E+4,2.4488E+4
sp|Q8IW52|SLIK4_HUMAN,SLIT and NTRK-like protein 4 OS=Homo sapiens OX=9606 GN=SLITRK4 PE=1 SV=1,SLITRK4,1.3736E+5,1.6686E+5,1.7233E+5,8.6860E+4,1.2168E+5,1.4155E+5,1.2628E+5,1.1721E+5,1.1436E+5,7.1197E+4,1.2756E+5,1.5613E+5,1.1088E+5,1.3896E+5,1.6515E+5,1.4183E+5,1.0795E+5,5.6090E+4,1.4096E+5,1.1835E+5,1.6640E+5,1.4991E+5,1.9204E+5,5.4991E+4,6.2181E+4,1.3134E+5,1.2556E+5,1.0071E+5,1.4638E+5,3.3028E+5,1.1540E+5,2.4406E+5,5.8829E+4,1.9976E+5,1.4467E+5,1.4456E+5,5.6489E+4,1.2844E+5,1.3080E+5,7.6819E+4,1.2521E+5,6.0124E+4,9.5468E+4,1.4483E+5,4.7851E+4,1.3133E+5,2.0116E+5,2.4355E+5
sp|Q8N3H0|TAFA2_HUMAN,Chemokine-like protein TAFA-2 OS=Homo sapiens OX=9606 GN=TAFA2 PE=1 SV=1,TAFA2,5.0245E+5,7.8560E+5,9.8187E+5,4.3735E+5,6.5852E+5,5.9683E+5,5.9392E+5,6.5810E+5,8.5132E+5,4.3209E+5,6.8250E+5,9.3696E+5,5.5350E+5,6.2447E+5,8.7420E+5,6.1039E+5,8.2386E+5,2.1666E+5,5.2447E+5,6.1745E+5,6.9006E+5,6.7781E+5,8.1866E+5,2.7272E+5,4.6999E+5,4.9141E+5,7.0324E+5,5.5085E+5,4.7540E+5,1.1220E+6,4.6759E+5,7.9770E+5,5.9166E+5,1.0745E+6,4.6345E+5,5.0925E+5,2.7229E+5,1.1329E+6,6.1384E+5,4.5705E+5,6.5384E+5,5.0743E+5,4.9031E+5,7.2037E+5,2.8304E+5,9.2923E+5,1.2408E+6,7.3356E+5
sp|Q8WZ42|TITIN_HUMAN,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4,TTN,2.1140E+3,9.2410E+3,1.1122E+3,2.6650E+2,9.3329E+2,2.3466E+3,1.4492E+3,2.2911E+3,1.7024E+3,7.7130E+2,1.2644E+3,4.3422E+3,3.0831E+3,9.6423E+2,2.6843E+2,7.8430E+2,3.7326E+3,1.0372E+3,4.3089E+2,3.5814E+2,1.4409E+3,1.2901E+3,9.9442E+3,1.0476E+3,1.1710E+3,0.0000E+0,2.0249E+3,1.6263E+2,3.8253E+1,1.0531E+4,1.5520E+3,8.9788E+3,2.5413E+2,1.7396E+3,3.4332E+2,7.2247E+2,1.2642E+2,4.6232E+2,5.6233E+2,3.2363E+3,1.2815E+3,3.5267E+2,5.5444E+3,1.6460E+2,1.2479E+3,1.5011E+3,1.6861E+3,9.2344E+3
sp|Q96A84|EMID1_HUMAN,EMI domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EMID1 PE=1 SV=1,EMID1,2.0429E+4,1.4146E+4,3.3965E+4,1.5609E+4,2.0453E+4,1.1376E+4,1.2513E+4,1.4898E+4,2.5743E+4,7.5842E+3,1.8351E+4,2.1633E+4,1.7261E+4,1.9836E+4,3.6840E+4,1.5527E+4,1.4110E+4,1.1074E+4,1.4362E+4,2.4458E+4,1.8140E+4,1.7654E+4,1.5033E+4,1.2113E+4,1.0596E+4,1.9560E+4,1.5932E+4,1.3373E+4,1.8196E+4,2.7715E+4,1.9300E+4,2.2390E+4,1.2587E+4,2.0128E+4,1.7163E+4,1.6279E+4,1.6992E+4,2.4462E+4,1.2152E+4,8.2969E+3,1.6325E+4,8.8843E+3,1.2322E+4,1.1103E+4,1.2813E+4,3.1413E+4,2.6012E+4,2.2855E+4
sp|Q9Y5I2|PCDAA_HUMAN,Protocadherin alpha-10 OS=Homo sapiens OX=9606 GN=PCDHA10 PE=1 SV=1,PCDHA10,4.4481E+4,7.9308E+4,6.1966E+4,5.7360E+4,5.5290E+4,8.0918E+4,5.8335E+4,5.5196E+4,6.1642E+4,4.6518E+4,6.6017E+4,5.8130E+4,4.4991E+4,5.1625E+4,7.7677E+4,6.2986E+4,9.3540E+4,3.8937E+4,4.9269E+4,4.7609E+4,8.7723E+4,7.7481E+4,8.4759E+4,5.1981E+4,4.2544E+4,5.2798E+4,7.0665E+4,4.8557E+4,6.9260E+4,8.9861E+4,4.0913E+4,9.3636E+4,4.9484E+4,9.9194E+4,6.5939E+4,5.6542E+4,1.6921E+4,6.5126E+4,5.7756E+4,4.5252E+4,5.1109E+4,5.6235E+4,5.0452E+4,5.5446E+4,2.4405E+4,6.8326E+4,1.0316E+5,6.6963E+4
sp|O15118|NPC1_HUMAN,NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2,NPC1,3.0239E+3,5.6969E+3,1.5892E+4,5.4272E+3,5.8000E+3,1.2582E+4,3.3791E+3,3.9343E+3,4.6960E+3,5.1263E+3,5.0525E+3,2.1344E+4,1.9915E+3,7.7240E+3,3.2550E+3,5.2517E+3,8.4579E+3,4.9568E+3,5.8670E+3,4.3075E+3,9.1581E+3,9.6227E+3,8.3963E+3,1.1586E+3,2.8219E+3,2.7846E+3,8.2705E+3,9.0149E+3,6.2840E+3,1.4486E+4,1.0918E+4,1.2923E+4,7.5021E+3,8.7383E+3,5.8809E+3,3.4738E+3,1.2920E+3,1.2557E+3,8.7218E+3,4.4374E+3,3.4186E+3,6.9259E+3,3.9622E+3,5.7691E+3,2.9133E+3,9.8136E+3,4.8803E+3,1.6329E+4
sp|O95747|OXSR1_HUMAN,Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,OXSR1,3.0233E+3,6.0074E+3,1.5629E+3,9.0738E+2,3.3023E+3,2.3878E+3,8.5760E+2,1.4332E+3,2.4114E+3,1.6096E+3,1.7173E+3,1.7379E+3,3.0279E+3,2.8498E+3,2.8040E+3,1.5559E+3,1.6066E+3,3.2664E+3,1.3764E+3,2.5845E+3,1.3347E+3,2.8150E+3,6.1729E+3,5.2192E+3,4.4285E+2,1.6496E+3,1.2861E+3,4.3934E+3,1.4992E+3,2.6991E+3,2.8117E+3,9.7057E+3,2.9345E+3,2.5805E+3,1.6845E+3,2.4306E+3,3.5039E+3,1.3604E+3,3.6827E+3,6.1314E+2,2.6669E+3,3.6130E+3,1.4441E+3,7.9162E+2,2.1844E+3,8.8100E+2,3.7187E+3,7.6661E+3
sp|P01601|KVD16_HUMAN,Immunoglobulin kappa variable 1D-16 OS=Homo sapiens OX=9606 GN=IGKV1D-16 PE=1 SV=2,IGKV1D-16,1.7161E+4,3.1408E+4,1.6988E+4,3.4184E+3,6.1422E+3,1.4621E+4,7.7891E+3,2.7784E+4,2.0068E+3,1.1579E+4,1.9525E+4,1.8446E+4,1.9798E+4,8.3984E+3,6.7558E+3,1.2103E+4,5.7487E+3,1.1376E+5,1.0283E+4,3.1679E+3,8.3991E+3,1.2810E+4,5.6897E+4,1.5726E+5,3.8012E+3,3.9713E+3,7.6478E+3,1.6831E+4,3.6770E+3,4.6512E+3,9.0092E+3,3.2255E+4,9.3242E+3,1.4400E+4,6.6532E+3,1.9614E+4,1.4729E+5,5.2687E+3,1.7091E+4,8.8579E+3,1.3917E+4,8.0996E+3,1.1549E+4,5.3008E+3,1.6789E+5,1.2112E+4,1.6853E+4,2.0984E+4
sp|P01602|KV105_HUMAN,Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2,IGKV1-5,4.6374E+4,6.0381E+4,1.2905E+5,1.8603E+5,6.9882E+4,3.5317E+5,5.1315E+4,5.0589E+4,3.4310E+4,4.4984E+4,6.2133E+4,2.4858E+5,2.1126E+5,5.3064E+4,4.1171E+4,9.5594E+4,4.4869E+4,1.2789E+6,3.8896E+4,4.8740E+4,3.5989E+4,5.1846E+4,1.0726E+5,1.2139E+6,6.7945E+4,5.3276E+4,7.8727E+4,7.5362E+4,3.7369E+4,5.2599E+4,3.1113E+4,8.5575E+4,7.1545E+4,4.6740E+4,4.9779E+4,7.9523E+4,1.0928E+6,5.1928E+4,2.0552E+5,6.6592E+4,4.4475E+4,1.0101E+5,4.8326E+4,3.2900E+4,1.2406E+6,5.2025E+4,8.0315E+4,1.0566E+5
sp|P07998|RNAS1_HUMAN,Ribonuclease pancreatic OS=Homo sapiens OX=9606 GN=RNASE1 PE=1 SV=4,RNASE1,1.4702E+5,2.2352E+5,2.2597E+5,1.4857E+5,5.2013E+5,2.7053E+5,2.6761E+5,8.8726E+5,2.3097E+5,2.8916E+5,2.0700E+5,3.6758E+5,1.4840E+5,2.1395E+5,1.5003E+5,1.6453E+5,2.1334E+5,1.8767E+5,1.3663E+5,2.0844E+5,2.3973E+5,2.4585E+5,3.1029E+5,2.3420E+5,1.2862E+5,2.9359E+5,1.6756E+5,1.5095E+5,2.1950E+5,3.9312E+5,1.6566E+5,3.9645E+5,2.1933E+5,4.1017E+5,2.8922E+5,1.2517E+5,1.9727E+5,2.5360E+5,2.5698E+5,1.7612E+5,1.5586E+5,2.6404E+5,2.3193E+5,1.5373E+5,2.0672E+5,4.1560E+5,1.8780E+5,2.9083E+5
sp|P17948|VGFR1_HUMAN,Vascular endothelial growth factor receptor 1 OS=Homo sapiens OX=9606 GN=FLT1 PE=1 SV=2,FLT1,2.9064E+4,2.4712E+4,4.4871E+4,1.9455E+4,2.6063E+4,3.2782E+4,2.5017E+4,3.7903E+4,3.7139E+4,2.9454E+4,2.9493E+4,4.1734E+4,4.9208E+4,3.3315E+4,3.7861E+4,3.4354E+4,2.6423E+4,3.7691E+4,1.9141E+4,3.7021E+4,3.8885E+4,3.1051E+4,3.5998E+4,3.8944E+4,2.8488E+4,2.5420E+4,3.5983E+4,3.6208E+4,3.5090E+4,3.3090E+4,2.8036E+4,4.7776E+4,2.9283E+4,4.9673E+4,3.1495E+4,3.1622E+4,3.4360E+4,3.5955E+4,4.3321E+4,1.8484E+4,3.5813E+4,3.3055E+4,3.5510E+4,3.5627E+4,4.7650E+4,4.1731E+4,7.1278E+4,5.5191E+4
sp|P23396|RS3_HUMAN,Small ribosomal subunit protein uS3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,RPS3,2.7295E+4,2.9489E+4,1.5923E+4,1.2709E+4,1.6447E+4,7.3663E+3,5.9930E+3,7.1586E+3,9.1827E+3,9.2105E+3,1.2078E+4,1.1703E+4,1.6560E+4,1.1341E+4,9.4165E+3,8.6315E+3,9.0381E+3,2.6149E+4,6.9521E+3,9.7931E+3,1.0700E+4,1.2424E+4,2.6671E+4,2.4728E+4,1.0315E+4,9.2896E+3,7.7655E+3,5.8743E+3,1.8085E+4,2.9791E+4,1.0540E+4,3.3154E+4,1.6849E+4,1.7181E+4,1.1263E+4,9.8905E+3,2.6797E+4,7.5591E+3,9.9037E+3,1.0103E+4,6.3434E+3,9.0307E+3,9.5242E+3,4.9130E+3,3.0611E+4,1.2935E+4,1.6453E+4,4.1264E+4
sp|P38646|GRP75_HUMAN,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",HSPA9,9.5313E+3,1.8054E+4,6.6532E+3,1.2619E+4,1.3078E+4,7.6316E+3,9.0358E+3,1.0102E+4,1.2345E+4,1.2279E+4,1.2133E+4,8.6685E+3,1.3083E+4,9.6130E+3,8.3235E+3,7.1626E+3,9.8117E+3,2.0366E+4,4.8427E+3,1.5241E+4,1.7799E+4,1.0005E+4,3.3297E+4,2.5654E+4,1.1163E+4,6.3086E+3,4.5544E+3,1.4170E+4,1.4089E+4,6.2355E+3,7.3628E+3,3.6334E+4,1.0982E+4,1.4568E+4,7.8362E+3,8.1451E+3,2.9906E+4,9.8637E+3,1.0799E+4,5.1578E+3,1.2199E+4,4.6918E+3,8.0696E+3,7.9235E+3,3.0716E+4,1.3953E+4,9.9095E+3,2.7211E+4
